遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
每一颗神木，都是经过百年的风雨，才有资格被围上红色段带，让大家公认它是神木。每一个企业家，都是经过多年的煎熬，才有本钱穿上明牌西装。	每一棵神木，都是经过百年的风雨，才有资格被围上红色锻带，让大家公认它是神木。每一个企业家，都是经过多年的煎熬，才有本钱穿上名牌西装。
直到有一天，我突然想要打开自己的内心，出去透透气，后来才发觉跟本不用在意，在那生气不如好好的过生活。	直到有一天，我突然想要打开自己的内心，出去透透气，后来才发觉根本不用在意，在那生气不如好好的过生活。
每个人都有大风雨和雨过天晴的时候，与其自暴自气不如往好的地方想，说不定因为这样能让自己不快乐的事还是生病可以变好。	每个人都有大风雨和雨过天晴的时候，与其自暴自弃不如往好的地方想，说不定因为这样能让自己不快乐的事还是生病可以变好。
有人说：人一生最少会有一次遭遇，这些遭遇都是为了考验我们，「奇迹多是在厄军中出现的」－培根。	有人说：人一生最少会有一次遭遇，这些遭遇都是为了考验我们，「奇迹多是在厄运中出现的」－培根。
也许我们就算努力向上可能也不会有什么成就，但是努力的人种比不努力的人还要有成就吧！	也许我们就算努力向上可能也不会有什么成就，但是努力的人总比不努力的人还要有成就吧！
大树下的草，不管是大风、大浪，事后它依然安然无样得坐在那儿。接受失败的磨难，最后获得的才是胜力的强者。不管是天灾还人破，防护系统不段的升级，才能把事情化小化无。	大树下的草，不管是大风、大浪，事后它依然安然无恙得坐在那儿。接受失败的磨难，最后获得的才是胜利的强者。不管是天灾还人祸，防护系统不断的升级，才能把事情化小化无。
我也祈许自己，在未来的路上，我能接受挫败，学习国父十一次革命的信念，一直一直的改进，走出自己的一片天。	我也期许自己，在未来的路上，我能接受挫败，学习国父十一次革命的信念，一直一直的改进，走出自己的一片天。
在世界上，没有一条路是可以让人安全走过的，每一条路都有其崎岖之处在等待人们掉入，这些险阱便是痛苦、失望、难过、挫折……。	在世界上，没有一条路是可以让人安全走过的，每一条路都有其崎岖之处在等待人们掉入，这些陷阱便是痛苦、失望、难过、挫折……。
爱迪生在发明灯炮时，失败了一千六百多次，最后他仍然坚持到最后，而照亮了全世界。如果没有毅力，不懂的坚持到底，会有今天的创举吗？	爱迪生在发明灯泡时，失败了一千六百多次，最后他仍然坚持到最后，而照亮了全世界。如果没有毅力，不懂的坚持到底，会有今天的创举吗？
人生常会有大大小小的风雨，每当一个风雨过去了，大家都会想辨法努力活下去。我也会加油努力打败这些数不进的风雨，像花一样，开得越来越漂亮。	人生常会有大大小小的风雨，每当一个风雨过去了，大家都会想办法努力活下去。我也会加油努力打败这些数不尽的风雨，像花一样，开得越来越漂亮。
我们呢？是不是也该像小草一般，曳立不摇？不要因为一点小挫败，而倒下。	我们呢？是不是也该像小草一般，屹立不摇？不要因为一点小挫败，而倒下。
贝多芬和司马迁，虽然遭遇到了人生最大的逆境，但是他们都撑过了，也得到比风雨前的他们几十倍的成究，面临逆境，并不一定不好，玉不琢不成器。	贝多芬和司马迁，虽然遭遇到了人生最大的逆境，但是他们都撑过了，也得到比风雨前的他们几十倍的成就，面临逆境，并不一定不好，玉不琢不成器。
为什么这些人失败那么多次，还是要努力的往上爬呢？我常常有这个疑问。道底是为了什么？	为什么这些人失败那么多次，还是要努力的往上爬呢？我常常有这个疑问。到底是为了什么？
「古之立大事者，不惟有超世之才，亦必有坚韧不拔之志。」能成功的人都有著坚韧不拔的毅志力。	「古之立大事者，不惟有超世之才，亦必有坚韧不拔之志。」能成功的人都有著坚韧不拔的意志力。
只要你不放弃、勇往直前，以小搏大坚忍的毅志力，相信「成功」是你最大的成果。	只要你不放弃、勇往直前，以小搏大坚忍的意志力，相信「成功」是你最大的成果。
当我走在街道上，看见树上叶子一片片掉了下来，这时，秋天己经无声的来到了这个世界。	当我走在街道上，看见树上叶子一片片掉了下来，这时，秋天已经无声的来到了这个世界。
「不禁一番寒彻骨，焉得梅花扑鼻香。」这就是最好的说明，没有失败哪里来的成功呢？	「不经一番寒彻骨，焉得梅花扑鼻香。」这就是最好的说明，没有失败哪里来的成功呢？
海伦．凯勒转捩点的重要人物，那位人物，就是她的老师，她的老师愿意接受她，并且改变她，让她从这场暴风雨中脱影而出。	海伦．凯勒转捩点的重要人物，那位人物，就是她的老师，她的老师愿意接受她，并且改变她，让她从这场暴风雨中脱颖而出。
之前的经验对我来说，根本不算什么，也并不认为是一种挫折，反正，都己发生了，只是个糟遇罢了。	之前的经验对我来说，根本不算什么，也并不认为是一种挫折，反正，都已发生了，只是个遭遇罢了。
当我从温暖的被窝爬起来时，外面的战火己停止了，天空也放睛了，再度露出那耀眼的笑容。	当我从温暖的被窝爬起来时，外面的战火已停止了，天空也放晴了，再度露出那耀眼的笑容。
当大浪卷来，鱼儿也能随波而流，挫折不是打击，而是磨炼。雨水冲尽昨日的污垢，强风吹去过往的残叶，不管不多久的雨，太阳总会露脸，又是新的一天。	当大浪卷来，鱼儿也能随波而游，挫折不是打击，而是磨炼。雨水冲净昨日的污垢，强风吹去过往的残叶，不管不多久的雨，太阳总会露脸，又是新的一天。
「天将降大任于斯人也，必先苦其心智，劳其筋骨」在暴风中成长的初芽更为茁壮，在豪雨中扎根的枝干更为坚固。	「天将降大任于斯人也，必先苦其心志，劳其筋骨」在暴风中成长的初芽更为茁壮，在豪雨中扎根的枝干更为坚固。
要学习古人的精神，别把逆境当作是不幸，要永于面对。	要学习古人的精神，别把逆境当作是不幸，要勇于面对。
周幽王为了逗弄他的爱妾，不惜娱弄大臣，终究导致灭国。温室里花朵，经不起大雨摧残，只能留在温室里头生长。	周幽王为了逗弄他的爱妾，不惜愚弄大臣，终究导致灭国。温室里花朵，禁不起大雨摧残，只能留在温室里头生长。
「顺境」、「逆境」只在一线之间，调整好心态，迎接每一个固难，并克服它，成功就是属于你的。	「顺境」、「逆境」只在一线之间，调整好心态，迎接每一个困难，并克服它，成功就是属于你的。
每个人的人生道路多少都会受点风雨，而这风雨不是逞罚而是挑战。	每个人的人生道路多少都会受点风雨，而这风雨不是惩罚而是挑战。
「杂草不除根，春风吹又生」，为什么只是小小的一枝草，生命力却如此旺盛？不是因为它容易长大，而是它有活下去的希望。	「斩草不除根，春风吹又生」，为什么只是小小的一枝草，生命力却如此旺盛？不是因为它容易长大，而是它有活下去的希望。
有的人，会机极的克服逆境，就像从深潭中向上游是一样的。每个伟人身后都有不同的遭遇，而且决对不会像台面上那么光鲜亮丽。	有的人，会积极的克服逆境，就像从深潭中向上游是一样的。每个伟人身后都有不同的遭遇，而且绝对不会像台面上那么光鲜亮丽。
佛罗伦丝．南丁格尔，她是个富家千金，却愿意为了病人们，而放下身段，及使是父母强烈的反对，她依然坚持理想，走上自己信仰的道路。	佛罗伦丝．南丁格尔，她是个富家千金，却愿意为了病人们，而放下身段，即使是父母强烈的反对，她依然坚持理想，走上自己信仰的道路。
音乐家贝多芬，作出许多块炙人口的好乐曲，虽然，因为听障使他的性情变得暴燥，但他创作不辍，留下来的，不止是音乐，也是最令人敬佩的精神。	音乐家贝多芬，作出许多脍炙人口的好乐曲，虽然，因为听障使他的性情变得爆燥，但他创作不辍，留下来的，不只是音乐，也是最令人敬佩的精神。
从逆境走出来的人很多，但因此而惰落的人更多，他们没有那种精神，那种毅力，那种活下来的希望。	从逆境走出来的人很多，但因此而堕落的人更多，他们没有那种精神，那种毅力，那种活下来的希望。
有的花朵被打的四分五裂，有些草被吹的东倒西歪，可是，不能因为那些事就半途而废，要像花一样，太阳一出来又是一个新气象。	有的花朵被打得四分五裂，有些草被吹得东倒西歪，可是，不能因为那些事就半途而废，要像花一样，太阳一出来又是一个新气象。
逆境是最好的老师，虽然大半辈子的研究都付之一炬，还是可以从新开始，面对新未来。	逆境是最好的老师，虽然大半辈子的研究都付之一炬，还是可以重新开始，面对新未来。
但是当太阳再度高挂时，谁知道这可怕的景像转眼间又会是一幅美丽的图画呢？可曾想过？	但是当太阳再度高挂时，谁知道这可怕的景象转眼间又会是一幅美丽的图画呢？可曾想过？
古人云：「逆境是最好的老师。」这句话我一开始并不以为然，可是就在我读到孙中山的转记时，我全然改观了。	古人云：「逆境是最好的老师。」这句话我一开始并不以为然，可是就在我读到孙中山的传记时，我全然改观了。
什么叫风雨？就是人生难免会碰到的一些错折，经过这些又是一个新的开始。	什么叫风雨？就是人生难免会碰到的一些挫折，经过这些又是一个新的开始。
司马迁他因为但护李陵，所以被官刑(腐刑)，但他还不是写了史记等。	司马迁他因为袒护李陵，所以被宫刑(腐刑)，但他还不是写了史记等。
许多名人都是在逆竟中出名，贝多芬也是在耳多听不见时，作出一首首动人的曲子。	许多名人都是在逆境中出名，贝多芬也是在耳朵听不见时，作出一首首动人的曲子。
在每次的挫败中学习，也在最后有好的成就，并且发阳光大，成为了一位伟人。	在每次的挫败中学习，也在最后有好的成就，并且发扬光大，成为了一位伟人。
有的面对一切勇往直前，有的人确因为无法通过而自寻短路，在碰到风雨时如何克服才是最重要的。	有的面对一切勇往直前，有的人却因为无法通过而自寻短路，在碰到风雨时如何克服才是最重要的。
我是幕后组的人，也是附责所有的小组长，大家也知道现在的学生除了会念书外，根本不去理会那些无关紧要的事情、活动，但我还是必需得完成才行。	我是幕后组的人，也是负责所有的小组长，大家也知道现在的学生除了会念书外，根本不去理会那些无关紧要的事情、活动，但我还是必须得完成才行。
如同学者所说的「逆境是最好的老师」，我也被铸造成一把刚强的剑了。	如同学者所说的「逆境是最好的老师」，我也被铸造成一把钢强的剑了。
爸爸回来后发现阿公在家跌倒了被卡在桌子下，脚被押的骨头都看见了。过了一会儿，发现他快不行了，所以马上叫了救户车，不过没几天阿公就去世了。这让我意思到，从此刻就好好对待周边的人。	爸爸回来后发现阿公在家跌倒了被卡在桌子下，脚被压的骨头都看见了。过了一会儿，发现他快不行了，所以马上叫了救护车，不过没几天阿公就去世了。这让我意识到，从此刻就好好对待周边的人。
就好比一座瀑布旁的石头，长时间的冲涮，使石头更光滑、更纯净，但也有许多石头，受不了柔软、强捍的水，放弃一切，让自已落了下去。	就好比一座瀑布旁的石头，长时间的冲涮，使石头更光滑、更纯净，但也有许多石头，受不了柔软、强悍的水，放弃一切，让自已落了下去。
风雨过后，改变了许多景象，狂风造成的树木倒塔等，但面对阳光时又是一番新的气象。遇到无法必免的挫败，是否可以把它变成转捩点，只能靠你自己。	风雨过后，改变了许多景象，狂风造成的树木倒塌等，但面对阳光时又是一番新的气象。遇到无法避免的挫败，是否可以把它变成转捩点，只能靠你自己。
选择一定都会有失败和胜利，胜利的那方，一定会笑得开心，提起精神来面对未来，专心的思考政积问题。	选择一定都会有失败和胜利，胜利的那方，一定会笑得开心，提起精神来面对未来，专心的思考政绩问题。
孙中山国父革命了十一次才成功，他也是经历过一段的考验才会成功的，所以我们应该要效仿他们，这样子我们的末来才是有希望的。	孙中山国父革命了十一次才成功，他也是经历过一段的考验才会成功的，所以我们应该要效仿他们，这样子我们的未来才是有希望的。
假设我那时我遇到了困难，不能去逃避一定要去检讨过错，并且提醒自已以后不能再犯这个错了。	假设我那时我遇到了困难，不能去逃避一定要去检讨过错，并且提醒自己以后不能再犯这个错了。
防止这些灾难发生，可以以前人做为告戒，必免自己犯下与他们一样的错误。	防止这些灾难发生，可以以前人做为告戒，避免自己犯下与他们一样的错误。
「野火烧不尽，春风吹又生。」野草并没有因为风吹弯了他的腰或著雨把他打湿了就受不了，有人靠著这总精神而使自己不会因为一点小事就放气了自己。	「野火烧不尽，春风吹又生。」野草并没有因为风吹弯了他的腰或者雨把他打湿了就受不了，有人靠著这种精神而使自己不会因为一点小事就放弃了自己。
很多圣人，他们在创造奇迹的背后，	都有一翻不可告人的悲剧。
刘墉面对这些无法挽救的挫败，生命中的逆境，他默默接受，并认为这不能算是挫折，只能算「遭遇」，因为它只是发生了而己。	刘墉面对这些无法挽救的挫败，生命中的逆境，他默默接受，并认为这不能算是挫折，只能算「遭遇」，因为它只是发生了而已。
我认为，生长在逆境中的人，往往都比生长在顺境中的人来的坚强，因为生长在逆境中的人，己经习惯了挫折。	我认为，生长在逆境中的人，往往都比生长在顺境中的人来的坚强，因为生长在逆境中的人，已经习惯了挫折。
一场风雨、一片天晴，我们总是在这些晴天霹雳之中奋斗著，然而总是会有一些令我们惶恐的暴风将我们带入深渊的时后。	一场风雨、一片天晴，我们总是在这些晴天霹雳之中奋斗著，然而总是会有一些令我们惶恐的暴风将我们带入深渊的时候。
记得国小的时后，班上的女生常常会爱搞一些小团体，而加入她们行列唯一的办法，就是跑去跟她们说：「我觉得XXX超讨厌的！妳们不要和别人说哦……」。	记得国小的时候，班上的女生常常会爱搞一些小团体，而加入她们行列唯一的办法，就是跑去跟她们说：「我觉得XXX超讨厌的！妳们不要和别人说哦……」。
你是否有观察过？在大台风过后，有些树木被强风豪雨轰炸的七零八落，甚至拦腰折断，有些却只是断了几枝树枝，并且在风雨过后，长的更加强壮。	你是否有观察过？在大台风过后，有些树木被强风豪雨轰炸的七零八落，甚至拦腰折断，有些却只是断了几枝树枝，并且在风雨过后，长得更加强壮。
人生的路不可能永远都是直的，只是当你碰到蜿蜒崎岖的道路时，你会怎么做？是该鼓气勇气不断向前？还是停顿在此，犹豫不决？	人生的路不可能永远都是直的，只是当你碰到蜿蜒崎岖的道路时，你会怎么做？是该鼓起勇气不断向前？还是停顿在此，犹豫不决？
小学时，我常试一个人自己睡觉，那时因为不习惯身边没有人陪著我一起睡觉，所以就一直都睡不觉，而且我还做了一场很可怕的恶梦呢！	小学时，我尝试一个人自己睡觉，那时因为不习惯身边没有人陪著我一起睡觉，所以就一直都睡不著，而且我还做了一场很可怕的恶梦呢！
我拿了一张六十一分的考卷回家，那正是我非常害怕拿到的国文考卷，这也正是在我目前短短经沥中遇到最大的风雨。	我拿了一张六十一分的考卷回家，那正是我非常害怕拿到的国文考卷，这也正是在我目前短短经历中遇到最大的风雨。
我现在己经国中了，又认识更多的新朋友，以后会更多，我希望能深深的记住他们，也希望他们能记得我。	我现在已经国中了，又认识更多的新朋友，以后会更多，我希望能深深的记住他们，也希望他们能记得我。
每个人在生命中一定有一些风风雨雨，当我们被眼前的事所打败了，要如何在站起来呢？	每个人在生命中一定有一些风风雨雨，当我们被眼前的事所打败了，要如何再站起来呢？
有正在风雨过后明智的选择就是调整步履，从新出发，记住这次挫折，愈挫愈勇。	有正在风雨过后明智的选择就是调整步履，重新出发，记住这次挫折，愈挫愈勇。
已恢愎了正常的天气，经过这场重大的风雨，我深深的体会到黑暗及孤独是多么恐布的，但愿不要再有这种情况发生。	已恢复了正常的天气，经过这场重大的风雨，我深深的体会到黑暗及孤独是多么恐怖的，但愿不要再有这种情况发生。
从小时后到现在不知发生了多少事。曾经因为段考太烂而被骂到哭了一整天。	从小时候到现在不知发生了多少事。曾经因为段考太烂而被骂到哭了一整天。
人生就像一场梦一样，也许你不绝得是，那也没差，挫折是人生中的一堂课，例如莫孔特，他遭遇了非常多的事，但他完全不退缩，它仍然活下去了。	人生就像一场梦一样，也许你不觉得是，那也没差，挫折是人生中的一堂课，例如莫札特，他遭遇了非常多的事，但他完全不退缩，它仍然活下去了。
人生中的风风雨雨可以说是不尽其数，看你是要因为一点小挫折就此倒地不起，还是要乐观面对。	人生中的风风雨雨可以说是不计其数，看你是要因为一点小挫折就此倒地不起，还是要乐观面对。
风雨过后会让你感受到人生中最恐怖的恶梦，它也许会害你家破人亡，一无所有，但是也许它会给你永有无限的可能和希望。	风雨过后会让你感受到人生中最恐怖的恶梦，它也许会害你家破人亡，一无所有，但是也许它会给你拥有无限的可能和希望。
你有可能会去对问题，从新在站起来。有可能活在黑暗当中，永远都在恐惧里。谁也不知道什么时候会面对错败，但是我相信不管是面对什么困难，只要你会永敢的站起来，那么你就会是赢家。	你有可能会去对问题，重新在站起来。有可能活在黑暗当中，永远都在恐惧里。谁也不知道什么时候会面对挫败，但是我相信不管是面对什么困难，只要你会勇敢的站起来，那么你就会是赢家。
爱迪生，小时候被所有人骂他是低能儿，可是他永有不屈不侥像上的经神，从火海中在站起来，后来他成为了不起的发明家。	爱迪生，小时候被所有人骂他是低能儿，可是他永有不屈不挠向上的精神，从火海中再站起来，后来他成为了不起的发明家。
在逆境里，什么是不要往不好的地方想，每一件事情都有好有坏，只要能够笑著站起来，不管是在火海中还是在风雨中你都能改变你的人生。	在逆境里，什么事不要往不好的地方想，每一件事情都有好有坏，只要能够笑著站起来，不管是在火海中还是在风雨中你都能改变你的人生。
风雨过后，小草探起头迎著阳光，小鸟依旧飞舞跳跃，树伸展枝干，大家都出来散步，迎接雨后晴朗洁静的天空。	风雨过后，小草探起头迎著阳光，小鸟依旧飞舞跳跃，树伸展枝干，大家都出来散步，迎接雨后晴朗洁净的天空。
一场风雨只是一个阶段，在风雨过后，大地仿佛重生了，雨洗去了灰尘，就像人生的风雨，也能改变自己，成为重新在来的动力。	一场风雨只是一个阶段，在风雨过后，大地仿佛重生了，雨洗去了灰尘，就像人生的风雨，也能改变自己，成为重新再来的动力。
「失败为成功之母」，没有波涛汹涌的大海，怎么能造就出熟炼的水手呢？	「失败为成功之母」，没有波涛汹涌的大海，怎么能造就出熟练的水手呢？
「逆境是最好的老师。」逆境似乎也是成功必经之路，所以我们更应该把心态调整到，遇到困境时，就是要成功了。遇到不幸时，就是经历下一个奇机的考验。	「逆境是最好的老师。」逆境似乎也是成功必经之路，所以我们更应该把心态调整到，遇到困境时，就是要成功了。遇到不幸时，就是经历下一个奇迹的考验。
「不幸是一所最美好的大学。」而经过了这所大学洗礼以后，便能够迈向展新的人生成功的未来，光明的人生前途！加油，风雨过后，大家会更好，而生命也更美好。	「不幸是一所最美好的大学。」而经过了这所大学洗礼以后，便能够迈向崭新的人生成功的未来，光明的人生前途！加油，风雨过后，大家会更好，而生命也更美好。
哗啦哗啦，雨不停的落下来，在这大风大雨的时刻，万物都显得十分凄惨，就连平常毅立不摇的大树也挡不住这突如其来的暴风雨。	哗啦哗啦，雨不停的落下来，在这大风大雨的时刻，万物都显得十分凄惨，就连平常屹立不摇的大树也挡不住这突如其来的暴风雨。
为什么他能进美国职棒，因为他有经历过长时间的磨练和每一场的败投，要不然他可以在美国拿下多次的胜投，每一场球赛都很重要，无论是胜或败，都可以是下一场比赛最好的助益，没有负面的经历，怎么能得到胜力。	为什么他能进美国职棒，因为他有经历过长时间的磨练和每一场的败投，要不然他可以在美国拿下多次的胜投，每一场球赛都很重要，无论是胜或败，都可以是下一场比赛最好的助益，没有负面的经历，怎么能得到胜利。
我觉得我们要相信自己的能力，别人可以做得到，我也可以，不要因为小小的挫折而放弃，像培根说的：「奇迹多是在厄运中出现的。」不要放弃每一次的机会，这样就可以成功，我认为怒力不懈是唯一通往成功明亮的道路。	我觉得我们要相信自己的能力，别人可以做得到，我也可以，不要因为小小的挫折而放弃，像培根说的：「奇迹多是在厄运中出现的。」不要放弃每一次的机会，这样就可以成功，我认为努力不懈是唯一通往成功明亮的道路。
一阵滂沱大雨，把一大家潜心哉培来的成果吹落后，山间高大的树一排排倒塌，美丽的花也被无情打下，鸟语花香的情景，顿时付之一炬，雨势俄顷消失了。看著自己心血倏乎即逝令人伤痛。	一阵滂沱大雨，把一大家虔心栽培来的成果吹落后，山间高大的树一排排倒塌，美丽的花也被无情打下，鸟语花香的情景，顿时付之一炬，雨势俄顷消失了。看著自己心血倏忽即逝令人伤痛。
「古之立大事者，不惟有超世之才，亦必有坚韧不拔之志」；许多人在逆境时，因为没有超越自己的心胸，或是忘自菲薄，不能在困难站稳脚步，以至于跌到绝望的谷底，平时要有让自己独立的决心，不能凡事依靠他人或优柔寡断。	「古之立大事者，不惟有超世之才，亦必有坚韧不拔之志」；许多人在逆境时，因为没有超越自己的心胸，或是妄自菲薄，不能在困难站稳脚步，以至于跌到绝望的谷底，平时要有让自己独立的决心，不能凡事依靠他人或优柔寡断。
司马迁为中国历史上颇重要的史学家，却因为李陵之祸而得在监牢里过他下半辈子，但是，他并没有因此放弃编写史书，所以，让后世人对他赞赏有佳也让他名留青史，难怪有人说：「没有坚硬的石头，哪激的起美丽的浪花？」	司马迁为中国历史上颇重要的史学家，却因为李陵之祸而得在监牢里过他下半辈子，但是，他并没有因此放弃编写史书，所以，让后世人对他赞赏有佳也让他名留青史，难怪有人说：「没有坚硬的石头，哪激得起美丽的浪花？」
爱迪生在实验室大火后，一生大半的研究都付之一炬。但事后三个月，他发表了他的第一部留声机。是他冷血，对自己所发明的事物没有思毫的感情吗？当然不是，他不过就是接受事实，化逆境为顺逆，继续他的研究罢了。	爱迪生在实验室大火后，一生大半的研究都付之一炬。但事后三个月，他发表了他的第一部留声机。是他冷血，对自己所发明的事物没有丝毫的感情吗？当然不是，他不过就是接受事实，化逆境为顺逆，继续他的研究罢了。
在人的一生当中多多少少都会经历一些生命中的挫败、逆境，但是用令一个角度来思考，就可让人接受，并认为这不能算是挫折，只能算「遭遇」－它只是发生罢了。	在人的一生当中多多少少都会经历一些生命中的挫败、逆境，但是用另一个角度来思考，就可让人接受，并认为这不能算是挫折，只能算「遭遇」－它只是发生罢了。
有时候多经历一些失败，便可以从当中找到更好、更让人无所不知的秘蜜了，和培根说的：「奇迹多是在厄运中出现的」所以失败并不是件坏事，而是让自己去发现其中的奥妙。	有时候多经历一些失败，便可以从当中找到更好、更让人无所不知的秘密了，和培根说的：「奇迹多是在厄运中出现的」所以失败并不是件坏事，而是让自己去发现其中的奥妙。
人生就是如此，常常受到些措折，但是通常这些风雨过后，它最后还是变回了晴天，不是吗？	人生就是如此，常常受到些挫折，但是通常这些风雨过后，它最后还是变回了晴天，不是吗？
常常在新闻上看到一些报导，都是在说受到一些小小的措折，而结束自己的生命的人，他们不愿意让这场风雨结束，再来好好过著晴天，而是在那风雨中就给打败了。	常常在新闻上看到一些报导，都是在说受到一些小小的挫折，而结束自己的生命的人，他们不愿意让这场风雨结束，再来好好过著晴天，而是在那风雨中就给打败了。
曾经有人问我，「你失败过吗？」，当然有啊，还不只一次呢！人生一定会有失败过，就当作是一次的经验吧，若己经知道这个方法会失败，那就不能再犯第二次错误，再次强调「想要做个成功的人，就得付出莫大的代价。」	曾经有人问我，「你失败过吗？」，当然有啊，还不只一次呢！人生一定会有失败过，就当作是一次的经验吧，若已经知道这个方法会失败，那就不能再犯第二次错误，再次强调「想要做个成功的人，就得付出莫大的代价。」
窗上没有什么字，但可爱的是窗户上有很多人的指纹，每天的变化都不同，有时候今天的像米老鼠，隔天就变成一只狗，或著是多冒出几只老鼠。	窗上没有什么字，但可爱的是窗户上有很多人的指纹，每天的变化都不同，有时候今天的像米老鼠，隔天就变成一只狗，或者是多冒出几只老鼠。
记得以前和同学一起做功课、玩游戏时的心情，记得犯错时被老师责骂的感觉，记得得奖时同学们为我欢呼、鼓掌时的喜悦，在小学时度过的每一分、每一秒，我都记得清清楚楚，不会忘掉任何细结，也不会讨厌任何回忆。	记得以前和同学一起做功课、玩游戏时的心情，记得犯错时被老师责骂的感觉，记得得奖时同学们为我欢呼、鼓掌时的喜悦，在小学时度过的每一分、每一秒，我都记得清清楚楚，不会忘掉任何细节，也不会讨厌任何回忆。
我的坐位是靠墙的，我也总喜欢往我旁那一堵早已花花绿绿的墙上望，这样的动作，总显得我上课不专心，但偶尔也有意外的收获，这堵墙的风功伟业不胜枚举，有著学长姐的精辟论点，老英雄的经典台词、真爱誓言等话语，都可以在此找到。	我的坐位是靠墙的，我也总喜欢往我旁那一堵早已花花绿绿的墙上望，这样的动作，总显得我上课不专心，但偶尔也有意外的收获，这堵墙的丰功伟业不胜枚举，有著学长姐的精辟论点，老英雄的经典台词、真爱誓言等话语，都可以在此找到。
放学后或在下课的时间里，独自一个人坐在自己的桌子上，看著教室后面的怖告栏，是我最喜欢的事。	放学后或在下课的时间里，独自一个人坐在自己的桌子上，看著教室后面的布告栏，是我最喜欢的事。
怖告栏上总是会贴著一些奖壮、好文章及一些老师或学校要公怖的事情。	布告栏上总是会贴著一些奖状、好文章及一些老师或学校要公布的事情。
每我坐在这里时，彷佛可以看到早上在这里用纸球、扫把棍玩玩棒球的男生们又不小心将球打到坐在一旁，跟朋友聊天的我。	每我坐在这里时，彷佛可以看到早上在这里用纸球、扫把棍玩玩棒球的男生们又不小心将球打到坐在一旁，跟朋友聊天的我。
